beneficiary_id,district,name,land_area_ha,primary_crop,income_category,aadhaar_verified,status,fund_amount_inr,enrollment_month,anomaly_flag
UK000214,Dehradun,Farmer_214,1.25,Soybean,2,1,Verified,11700,2024-12,0
UK000215,Dehradun,Farmer_215,0.75,Mustard,2,1,Verified,9500,2024-10,0
UK000216,Dehradun,Farmer_216,0.43,Apple,2,1,Verified,8200,2024-11,0
UK000217,Dehradun,Farmer_217,0.82,Potato,2,1,Verified,11200,2024-09,0
UK000218,Dehradun,Farmer_218,1.1,Soybean,2,1,Verified,9500,2024-05,0
UK000219,Dehradun,Farmer_219,0.52,Apple,2,1,Verified,9000,2024-06,0
UK000220,Dehradun,Farmer_220,1.07,Apple,2,1,Verified,10500,2024-05,0
UK000221,Dehradun,Farmer_221,1.14,Wheat,2,1,Verified,11300,2024-08,0
UK000222,Dehradun,Farmer_222,0.81,Mustard,2,1,Verified,10300,2024-06,0
UK000223,Dehradun,Farmer_223,1.28,Apple,2,1,Verified,12400,2024-05,0
UK000224,Dehradun,Farmer_224,1.2,Lentil,2,1,Verified,12800,2024-12,0
UK000225,Dehradun,Farmer_225,0.63,Wheat,2,1,Verified,7900,2024-08,0
UK000226,Dehradun,Farmer_226,0.67,Potato,2,1,Verified,8900,2024-09,0
UK000227,Dehradun,Farmer_227,1.13,Rice,2,1,Verified,11700,2024-06,0
UK000228,Dehradun,Farmer_228,1.19,Rice,2,0,Rejected,10200,2024-12,0
UK000229,Dehradun,Farmer_229,0.77,Apple,2,1,Verified,10800,2024-05,0
UK000230,Dehradun,Farmer_230,1.1,Wheat,2,1,Verified,10100,2024-05,0
UK000231,Dehradun,Farmer_231,0.63,Potato,2,1,Verified,9900,2024-07,0
UK000232,Dehradun,Farmer_232,0.92,Lentil,2,1,Verified,9600,2024-05,0
UK000233,Dehradun,Farmer_233,0.53,Wheat,2,1,Verified,8600,2024-07,0
UK000234,Dehradun,Farmer_234,0.93,Wheat,2,1,Verified,9600,2024-07,0
UK000235,Dehradun,Farmer_235,1.02,Apple,2,1,Verified,9000,2024-05,0
UK000236,Dehradun,Farmer_236,1.05,Maize,2,1,Verified,10300,2024-06,0
UK000237,Dehradun,Farmer_237,0.43,Apple,2,1,Verified,8200,2024-05,0
UK000238,Dehradun,Farmer_238,0.9,Lentil,2,1,Verified,10000,2024-04,0
UK000239,Dehradun,Farmer_239,0.8,Lentil,2,1,Verified,9200,2024-10,0
UK000240,Dehradun,Farmer_240,1.14,Apple,2,1,Verified,12000,2024-06,0
UK000241,Dehradun,Farmer_241,1.18,Rice,2,1,Verified,12300,2024-10,0
UK000242,Dehradun,Farmer_242,0.41,Lentil,2,1,Verified,7400,2024-12,0
UK000243,Dehradun,Farmer_243,0.9,Maize,2,1,Verified,10200,2024-05,0
UK000244,Dehradun,Farmer_244,0.72,Mustard,2,1,Verified,9100,2024-09,0
UK000245,Dehradun,Farmer_245,0.81,Rice,2,0,Pending,9100,2024-06,0
UK000246,Dehradun,Farmer_246,0.79,Rice,2,1,Verified,11100,2024-06,0
UK000247,Dehradun,Farmer_247,0.59,Soybean,2,1,Verified,10100,2024-09,0
UK000248,Dehradun,Farmer_248,0.97,Maize,2,1,Verified,9000,2024-11,0
UK000249,Dehradun,Farmer_249,0.83,Wheat,2,1,Verified,9900,2024-09,0
UK000250,Dehradun,Farmer_250,1.09,Soybean,2,1,Verified,9400,2024-04,0
UK000251,Dehradun,Farmer_251,1.34,Rice,2,1,Verified,11300,2024-12,0
UK000252,Dehradun,Farmer_252,1.13,Wheat,2,1,Verified,12300,2024-11,0
UK000253,Dehradun,Farmer_253,1.03,Maize,2,1,Verified,10400,2024-04,0
UK000254,Dehradun,Farmer_254,1.22,Apple,2,1,Verified,11300,2024-05,0
UK000255,Dehradun,Farmer_255,0.9,Soybean,2,1,Verified,10200,2024-12,0
UK000256,Dehradun,Farmer_256,1.17,Apple,2,1,Verified,10700,2024-08,0
UK000257,Dehradun,Farmer_257,0.86,Apple,2,1,Verified,9500,2024-05,0
UK000258,Dehradun,Farmer_258,0.83,Lentil,2,1,Verified,9200,2024-08,0
UK000259,Dehradun,Farmer_259,1.23,Maize,2,1,Verified,9900,2024-09,0
UK000260,Dehradun,Farmer_260,0.82,Apple,2,1,Verified,11300,2024-08,0
UK000261,Dehradun,Farmer_261,0.64,Rice,2,1,Verified,9400,2024-08,0
UK000262,Dehradun,Farmer_262,1.11,Apple,2,1,Verified,11400,2024-06,0
UK000263,Dehradun,Farmer_263,0.87,Rice,2,1,Verified,10100,2024-10,0
UK000264,Dehradun,Farmer_264,0.52,Potato,2,1,Verified,10000,2024-06,0
UK000265,Dehradun,Farmer_265,0.92,Maize,2,1,Verified,8900,2024-06,0
UK000266,Dehradun,Farmer_266,0.74,Rice,2,1,Verified,10400,2024-12,0
UK000267,Dehradun,Farmer_267,0.95,Apple,2,1,Verified,10600,2024-06,0
UK000268,Dehradun,Farmer_268,0.85,Maize,2,1,Verified,10600,2024-06,0
UK000269,Dehradun,Farmer_269,0.64,Soybean,2,1,Verified,9900,2024-08,0
UK000270,Dehradun,Farmer_270,1.2,Mustard,2,1,Verified,10300,2024-12,0
UK000271,Dehradun,Farmer_271,1.02,Mustard,2,1,Pending,11100,2024-09,0
UK000272,Dehradun,Farmer_272,0.37,Potato,2,1,Verified,8300,2024-10,0
UK000273,Dehradun,Farmer_273,0.99,Maize,2,1,Verified,9100,2024-08,0
UK000274,Dehradun,Farmer_274,1.04,Apple,2,1,Verified,12000,2024-12,0
UK000275,Dehradun,Farmer_275,0.77,Rice,2,1,Verified,9000,2024-06,0
UK000276,Dehradun,Farmer_276,0.89,Maize,2,1,Pending,8900,2024-10,0
UK000277,Dehradun,Farmer_277,1.33,Lentil,2,1,Verified,11300,2024-04,0
UK000278,Dehradun,Farmer_278,0.52,Lentil,2,1,Verified,8500,2024-05,0
UK000279,Dehradun,Farmer_279,1.33,Apple,2,1,Verified,10400,2024-06,0
UK000280,Dehradun,Farmer_280,0.7,Soybean,2,1,Verified,10200,2024-06,0
UK000281,Dehradun,Farmer_281,0.49,Wheat,2,1,Verified,8000,2024-08,0
UK000282,Dehradun,Farmer_282,0.54,Lentil,2,1,Verified,9600,2024-05,0
UK000283,Dehradun,Farmer_283,1.03,Soybean,2,1,Verified,9400,2024-05,0
UK000284,Dehradun,Farmer_284,1.03,Wheat,2,1,Pending,10800,2024-12,0
UK000285,Dehradun,Farmer_285,1.13,Lentil,2,1,Verified,11500,2024-06,0
UK000286,Dehradun,Farmer_286,0.9,Apple,2,1,Verified,11500,2024-05,0
UK000287,Dehradun,Farmer_287,0.97,Wheat,2,1,Verified,11600,2024-10,0
UK000288,Dehradun,Farmer_288,0.61,Lentil,2,1,Verified,8500,2024-09,0
UK000289,Dehradun,Farmer_289,0.96,Rice,2,1,Verified,9200,2024-09,0
UK000290,Dehradun,Farmer_290,0.68,Apple,2,1,Verified,10300,2024-06,0
UK000291,Dehradun,Farmer_291,1.18,Maize,2,1,Verified,9700,2024-06,0
UK000292,Dehradun,Farmer_292,0.87,Soybean,2,1,Verified,9400,2024-04,0
UK000293,Dehradun,Farmer_293,0.92,Potato,2,1,Verified,9900,2024-12,0
UK000294,Dehradun,Farmer_294,0.97,Soybean,2,1,Verified,8900,2024-08,0
UK000295,Dehradun,Farmer_295,0.79,Wheat,2,1,Verified,9100,2024-09,0
UK000296,Dehradun,Farmer_296,1.38,Lentil,2,1,Verified,12700,2024-10,0
UK000297,Dehradun,Farmer_297,0.39,Soybean,2,1,Pending,8000,2024-11,0
UK000298,Dehradun,Farmer_298,1.34,Rice,2,1,Verified,10200,2024-10,0
UK000299,Dehradun,Farmer_299,1.04,Apple,2,1,Verified,9300,2024-05,0
UK000300,Dehradun,Farmer_300,0.62,Potato,2,1,Verified,9500,2024-11,0
UK000301,Dehradun,Farmer_301,0.81,Wheat,2,1,Verified,10200,2024-09,0
UK000302,Dehradun,Farmer_302,0.68,Wheat,2,1,Verified,9900,2024-05,0
UK000303,Dehradun,Farmer_303,0.49,Maize,2,1,Verified,7800,2024-04,0
UK000304,Dehradun,Farmer_304,0.87,Soybean,2,1,Verified,8900,2024-04,0
UK000305,Dehradun,Farmer_305,0.75,Wheat,2,1,Verified,10100,2024-06,0
UK000306,Dehradun,Farmer_306,0.71,Apple,2,1,Pending,10200,2024-11,0
UK000307,Dehradun,Farmer_307,0.61,Mustard,2,1,Verified,7800,2024-05,0
UK000308,Dehradun,Farmer_308,1.12,Lentil,2,1,Verified,9700,2024-12,0
UK000309,Dehradun,Farmer_309,0.85,Potato,2,1,Verified,9100,2024-11,0
UK000310,Dehradun,Farmer_310,0.73,Rice,2,1,Verified,8600,2024-11,0
UK000311,Dehradun,Farmer_311,1.36,Apple,2,1,Verified,12500,2024-09,0
